company_id,type,rule_id,text,confidence_pct
ABB,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ABB,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73
ABB,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,90
ADANIENSOL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,90
ADANIENT,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
ADANIENT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99
ADANIENT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ADANIGREEN,con,C01,Debt-to-equity ratio of 6.38 is elevated for a non-financial company and warrants monitoring,85
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,90
ADANIGREEN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,99
ADANIPORTS,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
ADANIPOWER,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ADANIPOWER,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ADANIPOWER,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
AMBUJACEM,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82
AMBUJACEM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
APOLLOHOSP,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
APOLLOHOSP,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,94
APOLLOHOSP,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,85
APOLLOHOSP,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,92
APOLLOHOSP,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ASIANPAINT,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
ASIANPAINT,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ASIANPAINT,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ASIANPAINT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
ASIANPAINT,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,85
ASIANPAINT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
ASIANPAINT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ATGL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
ATGL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
ATGL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84
ATGL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ATGL,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,82
AXISBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90
AXISBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,90
AXISBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
AXISBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99
AXISBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99
AXISBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BAJAJ-AUTO,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
BAJAJ-AUTO,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
BAJAJ-AUTO,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BAJAJ-AUTO,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,85
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BAJAJFINSV,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
BAJAJFINSV,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,90
BAJAJFINSV,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
BAJAJFINSV,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
BAJAJFINSV,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
BAJAJFINSV,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78
BAJAJFINSV,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BAJAJHLDNG,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95
BAJAJHLDNG,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,85
BAJAJHLDNG,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76
BAJAJHLDNG,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,82
